method,train_split,eval_split,acc_at_1,acc_at_5,mrr,n_train_match_pairs,n_eval_queries,training_time_s,eval_time_s,timestamp
bm25_tfidf,N/A,val,0.0351,0.3870,0.1990,N/A,1938,0.0,1.78,2026-04-11T08:08:54Z
bi_encoder_in_batch,train_10pct,val,0.0433,0.5108,0.2486,698,1938,103.7,2.71,2026-04-11T08:10:41Z
bi_encoder_in_batch,train_25pct,val,0.0454,0.5526,0.2636,1744,1938,11.2,2.71,2026-04-11T08:10:55Z
bi_encoder_in_batch,train_100pct,val,0.0459,0.5991,0.2800,6977,1938,33.7,2.71,2026-04-11T08:11:31Z
bi_encoder_in_batch,cameras_train_10pct,val,0.0336,0.4753,0.2299,794,2205,53.2,2.52,2026-04-29T03:17:13Z
bi_encoder_in_batch,watches_train_10pct,val,0.0256,0.4699,0.2253,1039,2886,56.7,3.27,2026-04-29T04:52:57Z
bi_encoder_in_batch,shoes_train_10pct,val,0.0315,0.5591,0.2549,549,1524,57.3,2.16,2026-04-29T06:40:24Z
